ticker,date,qtr,current_assets,noncurrent_assets,current_liabilities,noncurrent_liabilities,lt_dbt,equity,goodwill,inventory,ev,total_debt
hexo,2015-09-30,Q4 2015,nan,nan,nan,0,0,0.878274,0,nan,nan,nan
hexo,2015-12-31,Q1 2016,nan,nan,nan,nan,0,0.868368,0,nan,nan,nan
hexo,2016-03-31,Q2 2016,nan,0.004643,nan,nan,0,0.826693,0,nan,nan,nan
hexo,2016-06-30,Q3 2016,nan,0.00408,nan,nan,0,0.814056,0,nan,0.115383,0
hexo,2016-09-30,Q4 2016,nan,0.002704,nan,nan,0,0.800217,0,nan,0.390928,0
hexo,2016-10-31,Q1 2017,19.770589,7.411808,5.830402,0,0,21.351995,nan,1.249901,nan,3.004524
hexo,2017-01-31,Q2 2017,19.770589,7.411808,5.830402,0,0,21.351995,nan,1.249901,nan,3.004524
hexo,2017-04-30,Q3 2017,23.457801,7.940205,4.104183,0,0,27.293823,nan,1.252289,77.787751,0
hexo,2017-07-31,Q4 2017,47.565465,8.613459,3.027993,20.711441,20.711441,32.43949,0,3.689239,95.962343,20.711441
hexo,2017-10-31,Q1 2018,43.958988,13.806419,5.204475,21.132911,21.132911,31.428021,nan,5.907446,159.929983,21.132911
hexo,2018-01-31,Q2 2018,277.361952,22.228318,11.127544,0,nan,288.462726,nan,7.580902,nan,nan
hexo,2018-04-30,Q3 2018,265.241276,36.407271,9.834149,0,0,291.814398,nan,9.242802,526.37281,0
hexo,2018-07-31,Q4 2018,276.619855,58.377578,12.124558,0,0,322.872875,0,10.414624,580.071516,0
hexo,2018-10-31,Q1 2019,244.351085,138.954698,17.437865,0,0,365.867918,nan,16.240283,992.705947,0
hexo,2019-01-31,Q2 2019,247.69,198.863,23.358,0,0,423.195,nan,21.112,1381.448394,0
hexo,2019-04-30,Q3 2019,266.514,243.939,47.394,30.371,30.371,432.688,nan,36.776,2067.277841,33.746
cron,2015-09-30,Q3 2015,0.965411,8.554118,1.768639,0.5,0.5,7.25089,nan,0,nan,nan
cron,2015-12-31,Q4 2015,1.225085,13.498761,2.326991,0.695,0.5,11.701855,0.392,0,nan,nan
cron,2016-03-31,Q1 2016,0.393098,13.480314,2.008687,0.653,0.5,11.211725,0.392,0,nan,nan
cron,2016-06-30,Q2 2016,3.5905,12.110141,0.315316,0.097,0,15.288325,0.392,0,11.650748,0.115
cron,2016-09-30,Q3 2016,9.160417,30.449854,7.607293,1.434,0,30.568978,1.792,1.272331,104.650687,4
cron,2016-12-31,Q4 2016,8.086588,34.814008,7.765967,1.457,0,33.677629,1.792,1.908486,180.689899,4
cron,2017-03-31,Q1 2017,21.333489,37.272123,6.540055,1.458,0,50.607557,1.792,2.259546,352.994289,4
cron,2017-06-30,Q2 2017,13.171856,41.926667,2.675588,1.435,0,50.987935,1.792,2.713241,223.267108,0
cron,2017-09-30,Q3 2017,27.061776,52.35344,5.513771,6.381077,0,67.520368,1.792,4.798513,358.642186,0
cron,2017-12-31,Q4 2017,26.704,74.325,7.878,6.783,0,86.368,1.792,8.416,1420.172971,0
cron,2018-03-31,Q1 2018,58.56,81.679,2.839,6.11,0,131.29,1.792,9.014,1369.02461,0.039
cron,2018-06-30,Q2 2018,123.064,112.372,2.333,5.833,0,227.27,1.792,12.334,1417.62701,0
cron,2018-09-30,Q3 2018,85.978,148.472,9.529,2.656,0,222.265,1.792,15.073,2528.9044,5.724
cron,2018-12-31,Q4 2018,65.064,196.055,45.493,3.986,0,211.64,1.792,11.584,2558.446916,20.951
cron,2019-03-31,Q1 2019,2474.308,223.729,1719.642,8.445,1.827,969.95,1.792,25.15,5759.330255,1.961
cron,2019-06-30,Q2 2019,2408.592,258.927,1433.662,9.394,3.109,1224.463,1.792,41.667,4741.604848,3.526
apha,2015-08-31,Q1 2016,9.398891,5.109291,1.592646,0,0,12.915536,nan,2.056892,nan,nan
apha,2015-11-30,Q2 2016,8.05533,6.318674,1.607248,0,0,12.766756,nan,2.021974,nan,nan
apha,2016-02-29,Q3 2016,17.479226,11.790875,1.611151,0,0,27.65895,nan,1.828912,64.627915,0
apha,2016-05-31,Q4 2016,21.892886,14.3871,1.266492,0,0,35.013494,1.2,2.08885,80.902303,0
apha,2016-08-31,Q1 2017,59.925427,22.551433,3.411776,6.995067,6.995067,72.070017,1.2,2.729699,186.981653,7.726996
apha,2016-11-30,Q2 2017,106.340817,32.375958,3.90246,6.806521,6.806521,128.007794,1.2,2.875409,489.311741,7.549662
apha,2017-02-28,Q3 2017,129.363655,73.533123,6.218672,7.183663,7.183663,189.494443,1.2,2.654705,704.409788,8.789873
apha,2017-05-31,Q4 2017,179.413,136.559,10.317,31.786,31.786,273.869,1.2,3.887,592.586409,33.429
apha,2017-08-31,Q1 2018,144.297831,186.811597,9.170187,31.445986,31.359352,290.493255,1.2,5.968503,744.773208,32.950715
apha,2017-11-30,Q2 2018,199.233,240.369,20.451,31.022,31.022,388.129,1.2,8.706,1604.119916,32.58
apha,2018-02-28,Q3 2018,279.207,575.41,44.618,64.104,30.096,745.895,143.907,11.761,2225.717775,38.66
apha,2018-05-31,Q4 2018,194.612,1119.48,43.854,96.645,28.337,1173.593,522.762,22.15,2357.025524,31.087
apha,2018-08-31,Q1 2019,418.181,1207.529,54.936,110.337,52.015,1460.437,524.512,34.752,3710.349041,55.949
apha,2018-11-30,Q2 2019,290.162,1808.337,108.639,194.126,51.165,1795.734,656.039,40.342,2515.730629,55.157
apha,2019-02-28,Q3 2019,308.481,1744.166,177.203,163.008,62.279,1712.436,674.412,86.227,3390.143323,77.38
apha,2019-05-31,Q4 2019,780.829,1660.763,138.545,569.894,482.261,1733.153,669.846,91.529,2187.338842,488.593
ogi,2015-08-31,Q4 2015,4.592741,9.583376,1.747832,4.574153,4.574153,7.854132,0,0.969263,nan,nan
ogi,2015-11-30,Q1 2016,9.778377,9.588146,1.446994,7.108613,7.108613,10.810916,0,1.1115,nan,nan
ogi,2016-02-29,Q2 2016,10.699307,9.935372,2.084982,7.327616,7.327616,11.222081,0,1.854776,nan,nan
ogi,2016-05-31,Q3 2016,10.389301,11.172952,2.650747,7.244043,7.244043,11.667463,0,2.51739,65.332298,7.570139
ogi,2016-08-31,Q4 2016,40.651953,13.215012,2.445842,7.160831,7.160831,44.260292,0,3.94082,90.877433,7.49148
ogi,2016-11-30,Q1 2017,33.436307,23.643493,3.452369,3.397657,3.397657,50.229774,0,4.176472,273.059007,3.742066
ogi,2017-02-28,Q2 2017,64.136896,27.081206,5.217302,3.283186,3.283186,82.717614,0,2.660278,200.760884,3.643759
ogi,2017-05-31,Q3 2017,56.27321,33.101701,4.026188,3.199776,3.199776,82.148947,0,2.035963,206.375088,3.570776
ogi,2017-08-31,Q4 2017,44.666285,48.141424,6.648157,3.12849,3.12849,83.031062,2.327728,2.625859,196.433318,3.518306
ogi,2017-11-30,Q1 2018,38.722747,57.885912,7.045221,3.018417,3.018417,86.545021,2.327728,4.222795,334.027007,3.40663
ogi,2018-02-28,Q2 2018,195.978143,72.796707,12.106183,95.889911,95.889911,160.778756,2.154761,8.710411,410.340537,96.287469
ogi,2018-05-31,Q3 2018,187.614,84.514,9.095,98.268,98.268,164.765,0.999,17.57,568.377773,98.686
ogi,2018-08-31,Q4 2018,203.214,99.353,11.25,106.723,98.743,184.594,0,44.969,794.220311,99.164
ogi,2018-11-30,Q1 2019,229.52,139.108,15.798,119.862,98.296,232.968,0,91.441,728.25907,98.72
ogi,2019-02-28,Q2 2019,207.744,168.406,66.428,32.838,10.996,276.884,0,95.134,1178.276774,62.279
ogi,2019-05-31,Q3 2019,232.471,195.518,25.674,65.936,47.196,336.379,0,94.183,1471.205941,49.469
ter,2017-03-31,Q1 2017,4.277316,9.572645,1.516427,8.167998,8.167998,4.165536,nan,0,nan,8.167998
ter,2017-06-30,Q2 2017,2.528963,12.934219,3.310198,8.755232,8.755232,3.397752,nan,0,45.232025,8.755232
ter,2017-09-30,Q3 2017,2.53385,14.106395,0.721178,0,nan,15.919067,nan,0,nan,nan
ter,2017-12-31,Q4 2017,53.692817,15.368749,1.6921,0,0,67.369466,0,1.364198,234.067528,0
ter,2018-03-31,Q1 2018,53.054444,17.76111,4.124968,0,0,66.690586,nan,5.333167,427.868221,0
ter,2018-06-30,Q2 2018,47.457,20.764,3.921,0,0,64.3,nan,12.52,367.302196,0
ter,2018-09-30,Q3 2018,44.674,24.7,4.012,0,0,65.362,nan,12.312,603.446715,0
ter,2018-12-31,Q4 2018,58.794,30.184,31.076,0,0,57.902,0,14.844,224.130242,12.683
ter,2019-03-31,Q1 2019,55.255,61.518,56.626,3.41,3.012,56.737,6.681,11.618,371.110569,48.339
ter,2019-06-30,Q2 2019,68.477,212.47,86.303,43.103,24.023,151.541,89.601,17.335,419.582736,68.918
weed,2015-09-30,Q2 2016,33.679399,90.142036,7.959784,3.595423,3.397423,112.266228,16.200122,14.107105,nan,nan
weed,2015-12-31,Q3 2016,48.156,101.39,4.851,12.648,3.61,132.047,26.154,22.808,nan,nan
weed,2016-03-31,Q4 2016,44.846,98.515,7.193,12.383,3.469,123.785,20.867,22.153,nan,nan
weed,2016-06-30,Q1 2017,50.375,101.858,7.64,12.212,3.489,132.381,20.867,24.237,273.309885,4.128
weed,2016-09-30,Q2 2017,89.877,106.327,8.868,15.717,6.362,171.619,20.867,27.579,425.326924,7.442
weed,2016-12-31,Q3 2017,152.683,127.982,14.03,15.111,6.092,251.524,34.912,50.598,1043.517485,7.17
weed,2017-03-31,Q4 2017,172.606,530.114,17.665,45.329,8.639,639.726,241.371,45.981,1635.79234,10.33
weed,2017-06-30,Q1 2018,208.091,535.572,15.816,44.988,8.223,682.859,271.497,65.486,1241.733268,9.914
weed,2017-09-30,Q2 2018,218.242,580.446,20.783,46.332,7.959,731.573,274.326,73.766,1748.362821,9.576
weed,2017-12-31,Q3 2018,374.248,720.9,29.237,46.053,7.294,1019.858,272.346,93.243,5498.571221,8.793
weed,2018-03-31,Q4 2018,481.777,955.04,92.028,101.551,6.865,1243.238,314.923,101.607,6479.47122,8.422
weed,2018-06-30,Q1 2019,892.794,1219.519,130.554,757.296,617.749,1224.463,340.374,118.204,7784.170857,620.288
weed,2018-09-30,Q2 2019,702.867,2273.593,1090.292,45.346,6.707,1840.822,1114.158,150.406,14909.91433,910.16
weed,2018-12-31,Q3 2019,5277.177,3362.938,295.679,920.758,773.049,7423.678,1815.624,184.961,8323.251389,791.496
weed,2019-03-31,Q4 2019,5070.14,3661.665,411.663,1078.694,842.259,7241.448,1544.055,262.105,16235.67879,945.975
weed,2019-06-30,Q1 2020,3864.341,4781.21,372.754,2379.587,787.508,5893.21,1931.915,393.738,15910.2828,805.796
acb,2015-09-30,Q1 2016,1.164701,12.732073,7.827272,3,3,3.069501,nan,0.314358,nan,nan
acb,2015-12-31,Q2 2016,3.982768,12.778067,7.981172,3,3,5.779663,nan,0.998753,nan,nan
acb,2016-03-31,Q3 2016,9.205665,13.114281,6.84041,4,4,11.479536,nan,3.750749,nan,nan
acb,2016-06-30,Q4 2016,5.243875,13.15267,7.995275,4.4391,4.4391,5.96217,0,2.317216,nan,10.486508
acb,2016-09-30,Q1 2017,27.029062,29.739721,3.816388,11.856597,11.856597,41.095798,16.104931,2.077374,321.096122,13.525606
acb,2016-12-31,Q2 2017,64.512621,33.705938,4.452167,18.941453,18.941453,74.824939,16.104931,3.005236,620.656764,20.616552
acb,2017-03-31,Q3 2017,130.970524,66.094636,4.440132,31.002,18.722211,161.623028,22.033644,5.008969,792.557803,18.789503
acb,2017-06-30,Q4 2017,193.606,129.073,23.464,80.282,63.818,218.933,41.1,7.703,680.992367,63.887
acb,2017-09-30,Q1 2018,193.236,154.598,23.562,79.356,66.844,244.916,47.651,11.653,938.149405,66.915
acb,2017-12-31,Q2 2018,461.033,271.361,158.507,18.301,0.244,555.586,65.868,15.31,4085.501115,0.317
acb,2018-03-31,Q3 2018,394.622,1276.778,56.146,228.481,206.613,1386.773,883.071,26.779,5221.050199,209.173
acb,2018-06-30,Q4 2018,219.698,1666.812,75.165,258.419,200.76,1552.926,760.744,29.595,5355.252118,203.211
acb,2018-09-30,Q1 2019,647.384,4307.977,98.938,453.506,289.904,4402.917,2880.642,74.953,11735.17502,291.103
acb,2018-12-31,Q2 2019,393.569,4482.315,118.94,456.893,338.997,4300.051,3056.397,69.776,6957.414004,347.556
acb,2019-03-31,Q3 2019,811.92,4737.86,342.191,814.288,418.346,4393.301,3176.746,82.702,12377.7732,639.1
acb,2019-06-30,Q4 2019,664.167,4838.663,436.365,676.418,395.158,4390.047,3172.55,113.641,10772.18151,644.825
oh,2018-03-31,Q1 2018,11.53033,56.14036,7.92827,6.0023,2.56909,53.74012,13.21827,3.01527,185.592087,3.102368
oh,2018-06-30,Q2 2018,23.50155,71.28949,5.94267,3.60359,0.29046,85.24478,13.4326,3.75433,251.0586,0.380623
oh,2018-09-30,Q3 2018,90.81278,129.39126,27.15448,45.82901,27.9096,147.22055,55.89128,7.38005,356.818643,41.09418
oh,2018-12-31,Q4 2018,85.96923,144.72882,26.15846,31.56746,16.0261,172.97213,57.51875,8.03652,349.24735,29.675458
oh,2019-03-31,Q1 2019,68.65763,200.7547,34.23343,35.59016,14.68794,199.58874,84.12124,13.60058,784.264866,15.380494
oh,2019-06-30,Q2 2019,57.01238,201.80708,62.84331,33.02279,0,162.95336,82.98795,13.49112,631.624929,25.975809
fire,2015-06-30,Q4 2015,1.087232,17.347631,4.037955,0.809555,0.809555,13.587353,0,0,nan,nan
fire,2015-09-30,Q1 2016,0.99535,17.567375,3.968959,0.642519,0.642519,13.951247,nan,0,nan,nan
fire,2015-12-31,Q2 2016,2.099958,17.710265,4.044362,0.621957,0.621957,15.143904,nan,0,nan,nan
fire,2016-03-31,Q3 2016,3.133958,17.824329,3.979828,0.534422,0.534422,16.444037,nan,0,nan,0.534422
fire,2016-06-30,Q4 2016,5.497449,18.786817,4.383012,0.5367,0.5367,19.364554,0,0,39.868343,0.5367
fire,2016-09-30,Q1 2017,16.951053,20.777892,4.688187,0,0,33.040758,nan,0,144.501265,0
fire,2016-12-31,Q2 2017,71.984122,21.469591,5.392696,38.675398,38.675398,49.385619,nan,0,212.391755,38.675398
fire,2017-03-31,Q3 2017,67.686052,23.463806,3.099132,39.586844,39.586844,48.463882,nan,0,235.3808,39.586844
fire,2017-06-30,Q4 2017,59.778877,36.124461,5.110643,31.705456,31.705456,59.087239,0,0.459519,204.399097,31.705456
fire,2017-09-30,Q1 2018,57.080863,46.589449,10.769657,30.916914,30.916914,61.983741,nan,1.179076,259.321348,30.916914
fire,2017-12-31,Q2 2018,84.77249,65.100488,12.230609,46.57717,46.57717,91.065199,nan,1.284377,461.625368,46.57717
fire,2018-03-31,Q3 2018,88.690196,96.839074,12.778276,30.372457,30.372457,142.378537,nan,2.618128,398.050528,30.372457
fire,2018-09-30,Q1 2019,53.269577,149.14403,23.376073,31.12468,31.12468,147.912854,nan,6.974372,580.671046,31.12468
fire,2018-12-31,Q2 2019,119.881829,190.363209,25.879588,77.717877,72.302275,206.647573,0.660463,8.416187,362.85224,72.302275
fire,2019-03-31,Q3 2019,100.855415,210.537187,24.278617,82.074384,75.496095,205.039601,0.660463,7.133795,644.605669,75.496095
fire,2019-06-30,Q4 2019,108.827,225.974,31.947,91.882,79.054,210.972,0.68,19.026,494.652231,79.054
wmd,2015-09-30,Q3 2015,0.694204,0,0.00755,0,0,0.686654,nan,0,nan,nan
wmd,2015-12-31,Q4 2015,0.676999,0,0.012854,0,0,0.664145,0,0,nan,nan
wmd,2016-03-31,Q1 2016,0.670918,0,0.012854,0,0,0.658064,nan,0,nan,nan
wmd,2016-06-30,Q2 2016,0.643896,0,0.01,0,0,0.633896,nan,0,-0.16333,0
wmd,2016-09-30,Q3 2016,0.633324,0,0.01,0,0,0.623324,nan,0,0.013592,0
wmd,2016-12-31,Q4 2016,8.30071,1.752261,0.579193,6.390951,0,3.082827,0,0.60549,nan,0
wmd,2017-03-31,Q1 2017,0.594221,0,0.023069,0,0,0.571152,nan,0,nan,0
wmd,2017-06-30,Q2 2017,7.272232,1.921347,0.770337,0,0,8.423242,nan,1.845219,46.673789,0
wmd,2017-09-30,Q3 2017,6.570495,2.034617,0.690883,0,0,7.914229,nan,2.409961,53.45434,0
wmd,2017-12-31,Q4 2017,28.834775,10.770412,3.120968,11.351671,0,25.132548,0,2.694133,167.017892,0
wmd,2018-03-31,Q1 2018,55.018945,18.782446,3.902382,8.618971,0,61.280038,nan,2.765803,97.204456,0
wmd,2018-06-30,Q2 2018,48.174747,25.591282,4.674623,2.274586,2.274586,66.81682,nan,3.514051,176.518168,2.274586
wmd,2018-09-30,Q3 2018,52.445318,35.25297,7.495704,2.360984,2.360984,77.8416,nan,5.39508,189.18671,2.360984
wmd,2018-12-31,Q4 2018,40.815324,47.253333,10.97634,0,0,77.092317,0,5.834051,122.947547,0
wmd,2019-03-31,Q1 2019,49.231823,81.523133,13.521835,35.431472,0,81.801649,nan,8.713069,205.848321,0
wmd,2019-06-30,Q2 2019,53.670129,94.124363,15.34808,36.243165,36.243165,96.203247,nan,12.470953,203.296135,36.243165