ticker,date,qtr,sales,cogs,sga
ter,2017-03-31,"Q1 2017",0,0,
ter,2017-06-30,Q2 2017,0.008478,,
ter,2017-09-30,Q3 2017,0.005659,,
ter,2017-12-31,Q4 2017,,,
ter,2018-03-31,Q1 2018,0,,1.11141
ter,2018-06-30,Q2 2018,0.009,0.839,2.594
ter,2018-09-30,Q3 2018,1.786,2.299,3.263
ter,2018-12-31,Q4 2018,5.031,5.294,3.693
ter,2019-03-31,Q1 2019,14.582,12.263,8.821
ter,2019-06-30,Q2 2019,17.572,14.954,14.373
ogi,2016-02-29,Q2 2016,1.425466,0.565252,0.861675
ogi,2016-05-31,Q3 2016,1.806849,0.833622,1.023428
ogi,2016-08-31,Q4 2016,1.865934,0.673781,1.140743
ogi,2016-11-30,Q1 2017,2.230671,0.687261,1.208175
ogi,2017-02-28,Q2 2017,-0.581169,0.941939,1.619015
ogi,2017-05-31,Q3 2017,1.917499,0.898227,1.480948
ogi,2017-08-31,Q4 2017,2.146702,0.938229,2.028433
ogi,2017-11-30,Q1 2018,2.399,1.349,1.844
ogi,2018-02-28,Q2 2018,3.395,1.437,2.668
ogi,2018-05-31,Q3 2018,3.435,1.431,2.789
ogi,2018-08-31,Q4 2018,2.327887,0.649605,3.078471
ogi,2018-11-30,Q1 2019,12.439,2.903,4.528
ogi,2019-02-28,Q2 2019,26.934,10.591,5.741
ogi,2019-05-31,Q3 2019,24.75,11.422,9.063
apha,2016-02-29,Q3 2016,2.679898,0.676027,1.61844
apha,2016-05-31,Q4 2016,2.776316,-0.019447,1.89308
apha,2016-08-31,Q1 2017,4.375512,0.593367,2.340239
apha,2016-11-30,Q2 2017,5.226589,0.877257,3.043911
apha,2017-02-28,Q3 2017,5.118516,1.314272,3.085203
apha,2017-05-31,Q4 2017,5.717866,,2.872563
apha,2017-08-31,Q1 2018,6.120359,-1.784082,3.682803
apha,2017-11-30,Q2 2018,8.504,2.302,4.792
apha,2018-02-28,Q3 2018,10.267,2.355,5.785
apha,2018-05-31,Q4 2018,12.025641,-6.184918,11.514197
apha,2018-08-31,Q1 2019,13.292,-0.472,13.592
apha,2018-11-30,Q2 2019,21.668,15.685,20.612
apha,2019-02-28,Q3 2019,73.582,56.287,29.382
apha,2019-05-31,Q4 2019,128.568,90.189,34.137
cron,2016-03-31,Q1 2016,,0.034406,0.307662
cron,2016-06-30,Q2 2016,,0.064053,0.199854
cron,2016-09-30,Q3 2016,0.123647,0.258902,0.640077
cron,2016-12-31,Q4 2016,0.430556,0.382682,1.461211
cron,2017-03-31,Q1 2017,0.514,0.235,1.38
cron,2017-06-30,Q2 2017,0.643,0.215,1.959
cron,2017-09-30,Q3 2017,1.314,0.464,1.242
cron,2017-12-31,Q4 2017,1.611,1.306,2.355
cron,2018-03-31,Q1 2018,2.945,5.475,3.047
cron,2018-06-30,Q2 2018,3.394,1.254,4.583
cron,2018-09-30,Q3 2018,3.76,1.688,5.418
cron,2018-12-31,Q4 2018,5.604,2.827,8.484
cron,2019-03-31,Q1 2019,6.47,2.984,11.111
cron,2019-06-30,Q2 2019,10.237,4.762,20.534
hexo,2016-03-31,Q2 2016,0,,
hexo,2016-06-30,Q3 2016,0,,
hexo,2016-09-30,Q4 2016,0,,
hexo,2016-10-31,Q1 2017,1.138702,0.47942,1.276374
hexo,2017-01-31,Q2 2017,0.913897,0.56703,1.385083
hexo,2017-04-30,Q3 2017,1.182497,1.211535,1.996003
hexo,2017-07-31,Q4 2017,0.861745,0.110795,1.954785
hexo,2017-10-31,Q1 2018,1.101502,1.465527,2.282513
hexo,2018-01-31,Q2 2018,1.181622,0.450551,3.127751
hexo,2018-04-30,Q3 2018,1.240172,0.479483,4.129771
hexo,2018-07-31,Q4 2018,1.713174,,8.169486
hexo,2018-10-31,Q1 2019,5.662893,2.830764,16.622568
hexo,2019-01-31,Q2 2019,13.438,6.499,13
hexo,2019-04-30,Q3 2019,13.017,6.577,15.617
wmd,2016-03-31,Q1 2016,0,,
wmd,2016-06-30,Q2 2016,0,0,0.151519
wmd,2016-09-30,Q3 2016,0,0,0.083971
wmd,2016-12-31,Q4 2016,0,,0.714906
wmd,2017-03-31,Q1 2017,0,,
wmd,2017-06-30,Q2 2017,0.235659,0.692602,0.378599
wmd,2017-09-30,Q3 2017,0.356479,0.185372,0.74964
wmd,2017-12-31,Q4 2017,0.858924,,
wmd,2018-03-31,Q1 2018,1.142341,0.409632,1.517599
wmd,2018-06-30,Q2 2018,2.089163,0.61887,2.705089
wmd,2018-09-30,Q3 2018,2.001369,0.714329,2.760199
wmd,2018-12-31,Q4 2018,2.722337,2.269424,7.366057
wmd,2019-03-31,Q1 2019,3.335788,2.846694,3.621221
wmd,2019-06-30,Q2 2019,7.979747,4.316658,4.391739
fire,2015-12-31,Q2 2016,0,,0.106653
fire,2016-03-31,Q3 2016,0,,0.148974
fire,2016-06-30,Q4 2016,0,,0.244418
fire,2016-09-30,Q1 2017,0,,0.195816
fire,2016-12-31,Q2 2017,0,,0.209064
fire,2017-03-31,Q3 2017,0,,0.186658
fire,2017-06-30,Q4 2017,0,,0.38553
fire,2017-09-30,Q1 2018,1.559998,1.022571,0.346045
fire,2017-12-31,Q2 2018,1.680641,1.54817,0.54846
fire,2018-03-31,Q3 2018,2.069032,1.695135,0.652746
fire,2018-09-30,Q1 2019,5.139912,2.874982,1.339835
fire,2018-12-31,Q2 2019,7.718351,4.036697,2.165249
fire,2019-03-31,Q3 2019,9.96981,5.701308,2.330473
fire,2019-06-30,Q4 2019,19.004927,7.762013,3.724443
oh,2015-09-30,Q2 2016,0,0,0.185374
oh,2017-03-31,Q1 2017,0.301111,,
oh,2017-09-30,Q3 2017,0.744302,,
oh,2018-03-31,Q1 2018,0.643437,0.673067,4.228942
oh,2018-06-30,Q2 2018,3.511466,2.690531,5.675704
oh,2018-09-30,Q3 2018,6.623998,6.115602,8.405696
oh,2018-12-31,Q4 2018,7.914049,7.705799,13.241313
oh,2019-03-31,Q1 2019,10.190018,9.644386,15.801871
oh,2019-06-30,Q2 2019,21.376203,17.478221,20.654084
acb,2016-03-31,Q3 2016,0.21923,0.836292,1.152455
acb,2016-06-30,Q4 2016,1.220041,3.208991,1.937495
acb,2016-09-30,Q1 2017,3.071422,2.985157,2.782551
acb,2016-12-31,Q2 2017,3.884462,-0.475898,3.964259
acb,2017-03-31,Q3 2017,5.175,-0.587,4.721
acb,2017-06-30,Q4 2017,5.936116,-2.739259,5.61519
acb,2017-09-30,Q1 2018,8.249,4.05,6.661
acb,2017-12-31,Q2 2018,11.7,5.213,12.704
acb,2018-03-31,Q3 2018,16.1,8.485,15.727
acb,2018-06-30,Q4 2018,19.147,,37.318
acb,2018-09-30,Q1 2019,29.674,21.624,65.319
acb,2018-12-31,Q2 2019,54.178,22.036,66.362
acb,2019-03-31,Q3 2019,65.145,12.523,67.104
acb,2019-06-30,Q4 2019,98.942,31.941,72.869
weed,2016-03-31,Q4 2016,5.042,2.354,4.959
weed,2016-06-30,Q1 2017,6.984,6.654,5.11
weed,2016-09-30,Q2 2017,8.498,6.874,6.841
weed,2016-12-31,Q3 2017,9.752,-7.191,7.823
weed,2017-03-31,Q4 2017,14.661,12.162,10.044
weed,2017-06-30,Q1 2018,15.873,17.945,13.898
weed,2017-09-30,Q2 2018,17.569,20.949,16.031
weed,2017-12-31,Q3 2018,21.7,5.17,20.459
weed,2018-03-31,Q4 2018,22.806,17.665,31.634
weed,2018-06-30,Q1 2019,25.916,41.22,36.854
weed,2018-09-30,Q2 2019,23.327,68.255,76.148
weed,2018-12-31,Q3 2019,83.048,70.596,90.983
weed,2019-03-31,Q4 2019,94.05,25.573,118.841
weed,2019-06-30,Q1 2020,90.482,123.443,107.367